datetime,open_price,high_price,low_price,close_price,volume,buy_volume,transactions,buy_transactions,long_short_ratio,long_liquidation,short_liquidation,open_predicted_funding_rate,high_predicted_funding_rate,low_predicted_funding_rate,close_predicted_funding_rate,open_funding_rate,high_funding_rate,low_funding_rate,close_funding_rate,open_open_interest,high_open_interest,low_open_interest,close_open_interest,volume_delta,cumulative_volume_delta,transaction_delta,cumulative_transaction_delta,liquidation_delta,cumulative_liquidation_delta
2019-12-01,7541.08,7541.08,7222.29,7387.38,195426.1389999424,95633.32199998939,344915,172643.0,,,,,,,,,,,,,,,,-4159.494999963616,45235.66900131051,371.0,19170.0,,
2019-12-02,7388.0,7416.75,7137.74,7291.0,143966.95299998065,71412.23199998817,261246,130055.0,,,,,,,,,,,,,,,,-1142.4890000043088,44093.1800013062,-1136.0,18034.0,,
2019-12-03,7291.74,7404.42,7231.35,7290.86,84699.46999998647,41922.423999994535,161453,80595.0,,,,,,,,,,,,,,,,-854.6219999973982,43238.558001308804,-263.0,17771.0,,
2019-12-04,7290.85,7800.0,7070.0,7191.0,274879.48100001784,137506.04500002292,403719,203788.0,,,,,,,,,,,,,,,,132.60900002799463,43371.1670013368,3857.0,21628.0,,
2019-12-05,7189.42,7480.0,7142.54,7384.99,175887.8739999606,88739.48899999511,309115,155895.0,,,,,,,,,,,,,,,,1591.1040000296198,44962.27100136642,2675.0,24303.0,,
2019-12-06,7384.66,7602.44,7295.73,7522.1,136218.7070000056,68368.60399998669,256515,128879.0,,,,,,,,,,,,,,,,518.5009999677713,45480.77200133419,1243.0,25546.0,,
2019-12-07,7521.13,7616.91,7467.44,7487.2,83208.78199998113,41704.624999995685,156532,78402.0,,,,,,,,,,,,,,,,200.46800001023803,45681.24000134443,272.0,25818.0,,
2019-12-08,7487.19,7559.39,7376.0,7508.2,84380.33799998827,41942.10999999826,149498,73404.0,,,,,,,,,,,,,,,,-496.1179999917513,45185.122001352676,-2690.0,23128.0,,
2019-12-09,7507.87,7676.48,7269.05,7337.49,136195.1049999839,66475.61499999394,240722,121121.0,,,,,,,,,,,,,,,,-3243.874999996013,41941.24700135666,1520.0,24648.0,,
2019-12-10,7338.64,7407.6,7157.1,7224.13,49723.76214,,0,,,,,,,,,,,,,,,,,,,,,,
2019-12-11,7220.92,7267.0,7117.74,7205.77,97320.72699998047,48330.93299999551,152711,76538.0,,,,,,,,,,,,,,,,-658.8609999894543,41282.38600136721,365.0,25013.0,,
2019-12-12,7206.78,7295.12,7080.0,7194.77,140594.10499999532,70699.71799998691,213352,105408.0,,,,,,,,,,,,,,,,805.3309999784979,42087.71700134571,-2536.0,22477.0,,
2019-12-13,7194.08,7298.0,7190.0,7252.98,80092.87300000682,39667.52499999272,139357,70346.0,,,,,,,,,,,,,,,,-757.8230000213807,41329.89400132433,1335.0,23812.0,,
2019-12-14,7252.98,7266.14,7007.86,7061.34,97837.5119998993,46055.74000000863,181282,91279.0,,,,,,,,,,,,,,,,-5726.031999882049,35603.86200144228,1276.0,25088.0,,
2019-12-15,7060.79,7196.0,7004.77,7115.0,87933.23300000117,44537.10399999497,134281,67119.0,,,,,,,,,,,,,,,,1140.9749999887717,36744.83700143105,-43.0,25045.0,,
2019-12-16,7115.45,7147.34,6831.0,6887.54,117597.89000000067,55589.14299999622,182961,88810.0,,,,,,,,,,,,,,,,-6419.6040000082285,30325.23300142282,-5341.0,19704.0,,
2019-12-17,6887.48,6940.0,6550.0,6618.96,166411.28899993055,80946.3110000099,259697,126897.0,,,,,,,,,,,,,,,,-4518.666999910754,25806.566001512067,-5903.0,13801.0,,
2019-12-18,6618.96,7479.99,6427.0,7277.44,328489.59299982234,170098.0659999635,502376,256802.0,,,,,,,,,,,,,,,,11706.539000104647,37513.105001616714,11228.0,25029.0,,
2019-12-19,7278.11,7367.87,7042.82,7146.29,158846.777999985,77009.76499998676,242852,127698.0,,,,,,,,,,,,,,,,-4827.248000011488,32685.857001605225,12544.0,37573.0,,
2019-12-20,7146.29,7217.08,7078.17,7184.39,86449.566,43256.647999997585,129836,59046.0,,,,,,,,,,,,,,,,63.72999999516469,32749.58700160039,-11744.0,25829.0,,
2019-12-21,7184.39,7185.0,7108.0,7131.01,44340.8649999935,21922.42400000104,71893,33255.0,,,,,,,,,,,,,,,,-496.01699999142147,32253.57000160897,-5383.0,20446.0,,
2019-12-22,7131.02,7517.61,7122.0,7502.92,129797.39500002137,67246.22099996918,194913,101609.0,,,,,,,,,,,,,,,,4695.046999917002,36948.61700152597,8305.0,28751.0,,
2019-12-23,7502.92,7691.0,7262.0,7314.01,215298.78699997975,104347.75999998862,305893,155572.0,,,,,,,,,,,,,,,,-6603.267000002525,30345.350001523446,5251.0,34002.0,,
2019-12-24,7314.03,7434.55,7156.08,7252.04,149081.0040000052,73067.03799999745,203260,100795.0,,,,,,,,,,,,,,,,-2946.928000010288,27398.422001513158,-1670.0,32332.0,,
2019-12-25,7251.57,7267.63,7123.19,7201.45,96965.07199999674,47370.95899999459,124562,62591.0,,,,,,,,,,,,,,,,-2223.154000007562,25175.268001505596,620.0,32952.0,,
2019-12-26,7201.67,7438.8,7151.0,7197.46,133973.53300000285,66703.48799999042,173980,86374.0,,,,,,,,,,,,,,,,-566.5570000220032,24608.711001483593,-1232.0,31720.0,,
2019-12-27,7197.84,7270.0,7078.89,7248.4,112284.61000000265,55474.654999994054,152470,76899.0,,,,,,,,,,,,,,,,-1335.3000000145403,23273.411001469052,1328.0,33048.0,,
2019-12-28,7248.4,7359.15,7235.0,7311.48,91292.88199998798,44857.61999999682,112313,55057.0,,,,,,,,,,,,,,,,-1577.6419999943319,21695.76900147472,-2199.0,30849.0,,
2019-12-29,7310.29,7527.0,7283.6,7383.67,102543.97399998995,52979.2729999965,133611,67312.0,,,,,,,,,,,,,,,,3414.572000003056,25110.341001477776,1013.0,31862.0,,
2019-12-30,7383.68,7400.0,7215.58,7240.43,94375.36199998997,44946.50799999339,122893,62293.0,,,,,,,,,,,,,,,,-4482.346000003192,20627.995001474585,1693.0,33555.0,,
2019-12-31,7240.8,7319.0,7141.0,7189.0,89203.43699999714,42880.849999997554,107365,52689.0,,,,,,,,,,,,,,,,-3441.737000002031,17186.258001472554,-1987.0,31568.0,,
2020-01-01,7189.43,7260.43,7170.15,7197.57,56801.32899999371,28834.200000000892,71359,36169.0,,,,,,,,,,,,,,,,867.0710000080726,18053.329001480626,979.0,32547.0,,
2020-01-02,7197.57,7209.59,6922.0,6962.04,115295.67699995662,55404.26199999367,160454,68106.0,,,,,,,,,,,,,,,,-4487.152999969272,13566.176001511354,-24242.0,8305.0,,
2020-01-03,6962.34,7407.28,6863.44,7341.72,208493.4579999043,107485.9649999884,291080,151937.0,,,,,,,,,,,,,,,,6478.4720000725065,20044.64800158386,12794.0,21099.0,,
2020-01-04,7341.6,7400.0,7269.21,7350.71,92586.03300000323,46139.08999999338,130686,65616.0,,,,,,,,,,,,,,,,-307.853000016461,19736.7950015674,546.0,21645.0,,
2020-01-05,7350.54,7495.0,7303.0,7354.36,117765.97199998808,58447.542999995356,169760,84636.0,,,,,,,,,,,,,,,,-870.8859999973647,18865.909001570035,-488.0,21157.0,,
2020-01-06,7354.36,7808.65,7345.0,7757.39,168150.31699994352,86031.4119999956,229523,114746.0,,,,,,,,,,,,,,,,3912.5070000476844,22778.41600161772,-31.0,21126.0,,
2020-01-07,7757.74,8215.33,7733.0,8152.49,280809.16199998313,140703.91799998362,372824,185400.0,,,,,,,,,,,,,,,,598.6739999841084,23377.090001601828,-2024.0,19102.0,,
2020-01-08,8150.9,8468.42,7870.11,8059.84,321225.1139998112,157260.4530000098,474107,236570.0,,,,,,,,,,,,,,,,-6704.207999791601,16672.882001810227,-967.0,18135.0,,
2020-01-09,8059.77,8060.0,7750.01,7818.59,187261.44299999374,91426.05899998503,265425,132112.0,,,,,,,,,,,,,,,,-4409.325000023673,12263.557001786554,-1201.0,16934.0,,
2020-01-10,7817.91,8210.62,7670.0,8207.09,253783.94799994119,129373.46199996995,402629,199247.0,,,,,,,,,,,,,,,,4962.9759999987145,17226.53300178527,-4135.0,12799.0,,
2020-01-11,8207.2,8292.19,8003.87,8020.56,164741.71499997328,81244.92899999394,267191,136874.0,,,,,,,,,,,,,,,,-2251.856999985408,14974.67600179986,6557.0,19356.0,,
2020-01-12,8020.58,8195.0,7956.28,8186.7,108629.96399998709,54658.73599999916,184271,94428.0,,,,,,,,,,,,,,,,687.5080000112357,15662.184001811096,4585.0,23941.0,,
2020-01-13,8186.22,8200.0,8053.78,8113.0,74581.36400000266,36688.57699999689,140530,70092.0,,,,,,,,,,,,,,,,-1204.210000008883,14457.974001802213,-346.0,23595.0,,
2020-01-14,8112.99,8893.0,8109.02,8825.0,290777.98099979834,149457.70699995436,496908,252747.0,,,,,,,,,,,,,,,,8137.433000110381,22595.407001912594,8586.0,32181.0,,
2020-01-15,8825.0,8921.2,8570.52,8825.3,237633.8369999425,115421.36699999908,326286,158568.0,,,,,,,,,,,,,,,,-6791.102999944327,15804.304001968267,-9150.0,23031.0,,
2020-01-16,8825.35,8868.21,8596.25,8725.08,167958.58799997633,83305.75799998961,218299,106301.0,,,,,,,,,,,,,,,,-1347.0719999971043,14457.232001971162,-5697.0,17334.0,,
